"Source","emmean","SE","df","lower.CL","upper.CL"
"Human",0.512252964426888,0.0415401251435187,5.71393285725858,0.409361553444177,0.615144375409599
"AssemblyAI",0.423320158102776,0.0415401251435186,5.7139328572586,0.320428747120066,0.526211569085487
"AWS",0.50395256916997,0.0415401251435186,5.71393285725859,0.40106115818726,0.60684398015268
"CrisperWhisper",0.512252964426887,0.0415401251435186,5.71393285725859,0.409361553444177,0.615144375409597
"Google",0.557707509881432,0.0415401251435186,5.71393285725859,0.454816098898722,0.660598920864143
"Meta",0.450197628458508,0.0415401251435186,5.71393285725859,0.347306217475797,0.553089039441218
"Microsoft",0.494861660079061,0.0415401251435186,5.71393285725859,0.391970249096351,0.597753071061771
"Nemo",0.486166007905148,0.0415401251435186,5.71393285725859,0.383274596922438,0.589057418887858
"Whisper",0.441106719367599,0.0415401251435186,5.71393285725858,0.338215308384888,0.543998130350309
