"Source","emmean","SE","df","lower.CL","upper.CL"
"Human",0.481617006910969,0.0314057653082083,419.778114090906,0.419884852028644,0.543349161793294
"AssemblyAI",0.105810171017255,0.0314057653082093,419.778114090868,0.0440780161349284,0.167542325899582
"AWS",0.323587359649332,0.0314057653082093,419.778114090868,0.261855204767005,0.385319514531659
"CrisperWhisper",0.326640387495587,0.0314057653082093,419.778114090855,0.26490823261326,0.388372542377914
"Google",0.39549682659724,0.0314057653082093,419.778114090868,0.333764671714913,0.457228981479567
"Meta",0.0119663276948808,0.0314057653082093,419.778114090868,-0.0497658271874463,0.0736984825772078
"Microsoft",0.17256789618326,0.0314057653082093,419.778114090868,0.110835741300933,0.234300051065587
"Nemo",0.229479259039515,0.0314057653082093,419.778114090855,0.167747104157188,0.291211413921842
"Whisper",0.110039299848883,0.0314057653082093,419.778114090868,0.0483071449665563,0.17177145473121
