"contrast","estimate","SE","df","t.ratio","p.value"
"AssemblyAI - Human",-0.375806835893714,0.0182857193043467,2440.00000000039,-20.5519306973273,4.29242658450908e-86
"AWS - Human",-0.158029647261637,0.0182857193043467,2440.00000000039,-8.64224396270108,1.30623672143116e-17
"CrisperWhisper - Human",-0.154976619415382,0.0182857193043467,2440.00000000039,-8.47528154818289,4.56664178587088e-17
"Google - Human",-0.0861201803137287,0.0182857193043467,2440.00000000039,-4.70969606830052,2.61997338164102e-06
"Meta - Human",-0.469650679216088,0.0182857193043467,2440.00000000039,-25.6840144704861,4.54565370084202e-128
"Microsoft - Human",-0.309049110727709,0.0182857193043467,2440.00000000039,-16.9011186043004,2.18801922364936e-60
"Nemo - Human",-0.252137747871453,0.0182857193043467,2440.00000000039,-13.7887793023005,1.67428209530815e-41
"Whisper - Human",-0.371577707062086,0.0182857193043467,2440.00000000039,-20.320650277824,1.63484710921424e-84
