"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",0.680836539925383,0.0105064163185838,64.8019761715627,562.189110487614,5.46497640996039e-263
"fixed","GroupDEM",-0.0797768865425164,0.0132292938925796,-6.03032083120202,562.189117428754,2.966277998117e-09
"fixed","SourceAssemblyAI",0.0136873089477737,0.00820276173507804,1.66862203119246,2432.00003607194,0.0953210293741114
"fixed","SourceAWS",-0.00275434222175402,0.00820276173507804,-0.335782302437902,2432.00003603599,0.737064001090732
"fixed","SourceCrisperWhisper",-0.00540044812578575,0.00820276173507804,-0.658369498005952,2432.00003590019,0.510363048281952
"fixed","SourceGoogle",-0.00693452269255367,0.00820276173507804,-0.845388774721944,2432.00003600844,0.397976972054204
"fixed","SourceMeta",0.0266468764481479,0.00820276173507804,3.24852498570036,2432.00003614104,0.00117584405196515
"fixed","SourceMicrosoft",0.00939577868874767,0.00820276173507804,1.14544088834957,2432.00003603782,0.252139270656735
"fixed","SourceNemo",0.000737983819868762,0.00820276173507804,0.089967725956597,2432.00003604818,0.92832027014459
"fixed","SourceWhisper",0.01419728054067,0.00820276173507804,1.73079274995362,2432.00003606736,0.0836155742915062
"fixed","GroupDEM:SourceAssemblyAI",0.0414492174309152,0.0103286165742559,4.01304638747336,2432.0000267209,6.17517336251964e-05
"fixed","GroupDEM:SourceAWS",0.0183547565309165,0.0103286165742559,1.77707792703485,2432.00002668896,0.0756803779334726
"fixed","GroupDEM:SourceCrisperWhisper",-0.0169013174593639,0.0103286165742559,-1.63635830005448,2432.00002661281,0.101894011193641
"fixed","GroupDEM:SourceGoogle",0.00854634266201215,0.0103286165742559,0.827443114048199,2432.0000266686,0.40806713360225
"fixed","GroupDEM:SourceMeta",0.0749883330111342,0.0103286165742559,7.2602494701994,2432.00002670601,5.17495468600415e-13
"fixed","GroupDEM:SourceMicrosoft",0.0233107100838793,0.0103286165742559,2.25690535768181,2432.00002670586,0.0241023921368824
"fixed","GroupDEM:SourceNemo",0.0217186653683816,0.0103286165742559,2.10276615578077,2432.00002670932,0.0355887401202695
"fixed","GroupDEM:SourceWhisper",0.0235257296857037,0.0103286165742559,2.27772320877335,2432.00002675579,0.0228295004711072
