"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",0.072474631925686,0.00513588053358772,14.1114325872098,427.713858694298,2.14316211623384e-37
"fixed","GroupDEM",0.032593531587534,0.00646691230537232,5.04004539545979,427.713855226565,6.88288334662369e-07
"fixed","SourceAssemblyAI",0.00264727315609722,0.00307003353884092,0.862294539328284,2431.99995951916,0.388610474136989
"fixed","SourceAWS",0.00323047067992482,0.00307003353884092,1.05225908416117,2431.99995938112,0.292785236001367
"fixed","SourceCrisperWhisper",0.000757847892293544,0.00307003353884092,0.246853294175954,2431.99995923075,0.805042598467742
"fixed","SourceGoogle",0.00477140203275135,0.00307003353884092,1.55418563751351,2431.99995906498,0.120270256837865
"fixed","SourceMeta",0.00111955209832666,0.00307003353884092,0.364670966672676,2431.99995908182,0.715388739385315
"fixed","SourceMicrosoft",0.00285331724249934,0.00307003353884092,0.929409143711373,2431.99995910039,0.352769328673442
"fixed","SourceNemo",-0.000129388050812997,0.00307003353884092,-0.0421454844632893,2431.99995917029,0.966386180637862
"fixed","SourceWhisper",0.0031575548317748,0.00307003353884092,1.02850825302935,2431.99995912624,0.303813088955643
"fixed","GroupDEM:SourceAssemblyAI",0.00847277497839562,0.00386567357639971,2.19179783573106,2431.99996902598,0.0284886128676376
"fixed","GroupDEM:SourceAWS",0.00682143429906179,0.00386567357639971,1.76461725602163,2431.99996891651,0.0777536169796891
"fixed","GroupDEM:SourceCrisperWhisper",-0.000763195673515588,0.00386567357639971,-0.197428897818731,2431.99996880328,0.843508416028056
"fixed","GroupDEM:SourceGoogle",0.00108649870542135,0.00386567357639971,0.281063231012191,2431.99996859005,0.778685811327157
"fixed","GroupDEM:SourceMeta",-0.00924772010332962,0.00386567357639971,-2.39226616540719,2431.99996867391,0.0168201857533782
"fixed","GroupDEM:SourceMicrosoft",0.00428020248659814,0.00386567357639971,1.10723329376002,2431.99996862319,0.268302575818921
"fixed","GroupDEM:SourceNemo",0.00283340282647475,0.00386567357639971,0.732964843118916,2431.99996866227,0.463650511600122
"fixed","GroupDEM:SourceWhisper",0.00613349382929831,0.00386567357639971,1.58665591082078,2431.99996865298,0.112720596519638
