"contrast","Source","estimate","SE","df","t.ratio","p.value"
"OLD - DEM","Human",0.0797768865425164,0.0132292938925796,562.189137075567,6.03032083120202,2.9662779389459e-09
"OLD - DEM","AssemblyAI",0.0383276691116012,0.0132292938925786,562.189137075751,2.89718177121322,0.00391199009867569
"OLD - DEM","AWS",0.0614221300116,0.0132292938925786,562.189137075751,4.64288801128354,4.28115254792461e-06
"OLD - DEM","CrisperWhisper",0.0966782040018803,0.0132292938925786,562.189137075751,7.30788844717667,9.3616248483417e-13
"OLD - DEM","Google",0.0712305438805043,0.0132292938925786,562.189137075751,5.38430429158907,1.07003084840013e-07
"OLD - DEM","Meta",0.00478855353138224,0.0132292938925786,562.189137075751,0.361965919743345,0.717513510193627
"OLD - DEM","Microsoft",0.0564661764586371,0.0132292938925786,562.189137075751,4.26826835333316,2.31204705257473e-05
"OLD - DEM","Nemo",0.0580582211741348,0.0132292938925786,562.189137075751,4.38861073354068,1.36276566128006e-05
"OLD - DEM","Whisper",0.0562511568568127,0.0132292938925786,562.189137075751,4.25201505942569,2.48077153782368e-05
