"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Group",1.15536152592033,1.15536152592033,1,303.99994850056,39.5317070225838,1.11989895639846e-09
"Source",15.4540610299792,1.93175762874741,8,2432.0000149017,66.0967800164998,2.19878724120975e-98
"Group:Source",1.72210309661251,0.215262887076563,8,2432.00001466635,7.36540831058714,1.00685893767082e-09
