"contrast","Source","estimate","SE","df","t.ratio","p.value"
"OLD - DEM","Human",0.259198411675467,0.0423256925587413,475.269383328708,6.12390243386429,1.91494352403241e-09
"OLD - DEM","AssemblyAI",0.142340930692089,0.0423256925587373,475.269383328626,3.36299117833821,0.000833319618255071
"OLD - DEM","AWS",0.280358742879352,0.0423256925587373,475.269383328626,6.62384301190784,9.49448686704445e-11
"OLD - DEM","CrisperWhisper",0.308477033344955,0.0423256925587373,475.269383328626,7.28817450339099,1.31891183632734e-12
"OLD - DEM","Google",0.281633760934298,0.0423256925587373,475.269383328626,6.65396698573713,7.8752617648049e-11
"OLD - DEM","Meta",0.238738703142272,0.0423256925587373,475.269383328626,5.64051498533575,2.91458355792728e-08
"OLD - DEM","Microsoft",0.220946904770129,0.0423256925587373,475.269383328626,5.22016041352451,2.67694721125041e-07
"OLD - DEM","Nemo",0.242623431682786,0.0423256925587373,475.269383328626,5.73229679221638,1.76265766502864e-08
"OLD - DEM","Whisper",0.163254417182123,0.0423256925587373,475.269383328626,3.85709972626123,0.000130555161791639
