"contrast","Source","estimate","SE","df","t.ratio","p.value"
"OLD - DEM","Human",-0.032593531587534,0.00646691230537233,427.713850807312,-5.04004539545978,6.88288337341732e-07
"OLD - DEM","AssemblyAI",-0.0410663065659296,0.00646691230537258,427.713850807192,-6.35021856285457,5.49993438123164e-10
"OLD - DEM","AWS",-0.0394149658865958,0.00646691230537258,427.713850807192,-6.09486630178216,2.44708315659725e-09
"OLD - DEM","CrisperWhisper",-0.0318303359140184,0.00646691230537258,427.713850807192,-4.92202992880766,1.22488770393898e-06
"OLD - DEM","Google",-0.0336800302929553,0.00646691230537258,427.713850807192,-5.20805427730551,2.9718195015728e-07
"OLD - DEM","Meta",-0.0233458114842044,0.00646691230537258,427.713850807192,-3.61003990494956,0.000342416774768502
"OLD - DEM","Microsoft",-0.0368737340741321,0.00646691230537258,427.713850807192,-5.70190723685833,2.2119851853288e-08
"OLD - DEM","Nemo",-0.0354269344140087,0.00646691230537258,427.713850807192,-5.47818382886942,7.34792630437909e-08
"OLD - DEM","Whisper",-0.0387270254168323,0.00646691230537258,427.713850807192,-5.9884877957381,4.49261001298176e-09
