"effect","term","estimate","std.error","statistic","df","p.value"
"fixed","(Intercept)",4.0044296476955,0.0336141407550061,119.129317535779,475.269310001762,0
"fixed","GroupDEM",-0.259198411675467,0.0423256925587413,-6.12390243386429,475.269307974297,1.91494373792115e-09
"fixed","SourceAssemblyAI",0.0840954547015811,0.022743743178764,3.6975204143222,2431.99999815816,0.000222532163594393
"fixed","SourceAWS",-0.0356420325364262,0.022743743178764,-1.56711374448272,2431.99999798495,0.117218202834754
"fixed","SourceCrisperWhisper",-0.0286972496793713,0.022743743178764,-1.26176458526696,2431.99999781297,0.207154507977679
"fixed","SourceGoogle",-0.0831693253588835,0.022743743178764,-3.65680023315333,2431.99999773042,0.000260801161435622
"fixed","SourceMeta",0.0367812934504742,0.022743743178764,1.61720492363004,2431.99999783233,0.105963740309744
"fixed","SourceMicrosoft",0.0230898579670477,0.022743743178764,1.01521802218585,2431.99999789865,0.310102897974626
"fixed","SourceNemo",-0.00871394990003827,0.022743743178764,-0.383136136894764,2431.99999776694,0.701652312100792
"fixed","SourceWhisper",0.0916484202347639,0.022743743178764,4.02961023233576,2431.9999977568,5.75848707304236e-05
"fixed","GroupDEM:SourceAssemblyAI",0.116857480983378,0.0286380868229088,4.08049188851188,2432.0000058316,4.63884987286669e-05
"fixed","GroupDEM:SourceAWS",-0.0211603312038843,0.0286380868229088,-0.738887738372148,2432.00000563603,0.460046470889851
"fixed","GroupDEM:SourceCrisperWhisper",-0.0492786216694873,0.0286380868229089,-1.72073721174933,2432.00000551427,0.0854257148044569
"fixed","GroupDEM:SourceGoogle",-0.0224353492588303,0.0286380868229089,-0.783409499299487,2432.00000547471,0.433462962946151
"fixed","GroupDEM:SourceMeta",0.0204597085331957,0.0286380868229088,0.714423022030548,2432.00000544981,0.475034204567331
"fixed","GroupDEM:SourceMicrosoft",0.038251506905338,0.0286380868229088,1.33568653317787,2432.00000548849,0.181776735652421
"fixed","GroupDEM:SourceNemo",0.0165749799926809,0.0286380868229088,0.578773997550068,2432.00000542146,0.562795274239136
"fixed","GroupDEM:SourceWhisper",0.0959439944933446,0.0286380868229088,3.35022360560046,2432.00000539353,0.000819793100472635
